"block" "pop" "rec" "env" "generation" "rel.fitness" "fitness.gain" "fitness.gain.rel"
"A" "HR1" "wt" "ngm" "G40" 2.01466414690409 -0.394392072579002 -0.163712274287906
"A" "LR1" "mut" "ngm" "G40" 2.54913419768777 0.705647390742009 0.382778649721451
"A" "HR2" "wt" "ngm" "G40" 2.06540930534015 -0.343646914142944 -0.142647942942851
"A" "LR2" "mut" "ngm" "G40" 2.5528786348033 0.70939182785753 0.384809820816038
"A" "HR3" "wt" "ngm" "G40" 2.66784534978428 0.258789130301187 0.107423449983544
"A" "LR3" "mut" "ngm" "G40" 2.39349197456114 0.550005167615376 0.298350476685325
"A" "HR4" "wt" "ngm" "G40" 2.29097672035598 -0.118079499127115 -0.0490148375003266
"A" "LR4" "mut" "ngm" "G40" 2.26792640111122 0.424439594165452 0.230237391754732
"A" "SHR1" "wt" "salt" "G40" 3.47170518146449 0.94874306430658 0.376043325365237
"A" "SLR1" "mut" "salt" "G40" 2.51731149496316 -0.187305711045505 -0.0692540558528507
"A" "SHR2" "wt" "salt" "G40" 3.28722798802253 0.764265870864614 0.302924037450689
"A" "SLR2" "mut" "salt" "G40" 3.15377608441879 0.449158878410129 0.166071145821399
"A" "SHR3" "wt" "salt" "G40" 2.71464575611766 0.19168363895975 0.0759756310473971
"A" "SLR4" "mut" "salt" "G40" 3.09704514545578 0.392427939447119 0.145095556803857
"A" "SHR5" "wt" "salt" "G40" 3.28323472860077 0.760272611442853 0.301341271148095
"A" "SLR5" "mut" "salt" "G40" 2.41195475618656 -0.292662449822102 -0.108208455219435
"A" "SHR6" "wt" "salt" "G40" 3.09798242368023 0.57502030652232 0.227914760436464
"A" "SLR6" "mut" "salt" "G40" 2.62830420582517 -0.0763130001834949 -0.0282158229319681
"A" "SHR7" "wt" "salt" "G40" 3.1064554862156 0.58349336905769 0.231273139255451
"A" "SLR7" "mut" "salt" "G40" 2.66962801365654 -0.0349891923521208 -0.0129368371518113
"A" "SHR8" "wt" "salt" "G40" NA NA NA
"A" "SLR8" "mut" "salt" "G40" NA NA NA
"A" "HR0" "wt" "ngm" "G0" 2.73101799204178 0.321961772558685 0.13364643380044
"A" "LR0" "mut" "ngm" "G0" 1.4978571181725 -0.345629688773268 -0.187486933712261
"A" "SHR0" "wt" "salt" "G0" 2.17391626842321 -0.349045848734702 -0.138347637628383
"A" "SLR0" "mut" "salt" "G0" 2.41894533120372 -0.285671874804945 -0.105623773364411
"A" "HR1" "wt" "ngm" "G40" 2.26091328893792 -0.148142930545172 -0.0614941774073495
"A" "LR1" "mut" "ngm" "G40" 2.51544873936936 0.671961932423595 0.364505962229739
"A" "HR2" "wt" "ngm" "G40" 2.41629380219007 0.00723758270698172 0.00300432287484553
"A" "LR2" "mut" "ngm" "G40" 2.37908261120268 0.535595804256913 0.290534112985746
"A" "HR3" "wt" "ngm" "G40" 2.73462089299979 0.325564673516698 0.135141999129665
"A" "LR3" "mut" "ngm" "G40" 2.64596793541979 0.802481128474027 0.435306141302716
"A" "HR4" "wt" "ngm" "G40" 2.38388087187143 -0.0251753476116652 -0.0104502947702345
"A" "LR4" "mut" "ngm" "G40" 2.55946198436073 0.715975177414962 0.388380960860343
"A" "SHR1" "wt" "salt" "G40" NA NA NA
"A" "SLR1" "mut" "salt" "G40" 2.40179580436114 -0.30282140164752 -0.111964606664027
"A" "SHR2" "wt" "salt" "G40" 3.27357425015734 0.750612132999424 0.297512248755039
"A" "SLR2" "mut" "salt" "G40" 2.86811456846576 0.163497362457093 0.0604512025191075
"A" "SHR3" "wt" "salt" "G40" 3.19725994413057 0.67429782697266 0.267264348674505
"A" "SLR4" "mut" "salt" "G40" 2.82459292027709 0.119975714268428 0.0443595914430648
"A" "SHR5" "wt" "salt" "G40" 3.73913338229639 1.21617126513848 0.482041032985655
"A" "SLR5" "mut" "salt" "G40" 2.85048230116499 0.145865095156322 0.0539318816845
"A" "SHR6" "wt" "salt" "G40" 3.25091524302175 0.727953125863835 0.288531136045699
"A" "SLR6" "mut" "salt" "G40" 2.66020358990943 -0.0444136160992366 -0.0164214055876617
"A" "SHR7" "wt" "salt" "G40" 3.08933323736934 0.566371120211428 0.224486573286101
"A" "SLR7" "mut" "salt" "G40" 3.5195783250824 0.814961119073734 0.301322167611442
"A" "SHR8" "wt" "salt" "G40" NA NA NA
"A" "SLR8" "mut" "salt" "G40" NA NA NA
"A" "HR0" "wt" "ngm" "G0" 2.44768014240838 0.0386239229252827 0.016032802644004
"A" "LR0" "mut" "ngm" "G0" 1.76987004068267 -0.0736167662630953 -0.0399334380835963
"A" "SHR0" "wt" "salt" "G0" 2.70795452255356 0.184992405395651 0.0733234970662351
"A" "SLR0" "mut" "salt" "G0" 2.99943757488946 0.294820368880794 0.109006320090625
"A" "HR1" "wt" "ngm" "G40" 2.50903369562158 0.0999774761384882 0.0415006820222485
"A" "LR1" "mut" "ngm" "G40" 2.47586406982584 0.632377262880073 0.343033245747919
"A" "HR2" "wt" "ngm" "G40" 2.42485420775341 0.0157979882703203 0.00655774993649172
"A" "LR2" "mut" "ngm" "G40" 3.06546464503181 1.22197783808604 0.662862263772084
"A" "HR3" "wt" "ngm" "G40" 2.71561338865902 0.306557169175932 0.127251978055418
"A" "LR3" "mut" "ngm" "G40" 2.82603169036879 0.982544883423029 0.532981781980246
"A" "HR4" "wt" "ngm" "G40" 2.81144739314867 0.40239117366558 0.167032703683404
"A" "LR4" "mut" "ngm" "G40" 2.16870398551033 0.325217178564569 0.176414161109935
"A" "SHR1" "wt" "salt" "G40" 3.01801730887977 0.495055191721855 0.196219827620531
"A" "SLR1" "mut" "salt" "G40" 2.17528406078626 -0.529333145222402 -0.195714626101771
"A" "SHR2" "wt" "salt" "G40" 2.82434210344964 0.301379986291729 0.119454820285304
"A" "SLR2" "mut" "salt" "G40" 2.9214749481473 0.216857742138632 0.0801805673856004
"A" "SHR3" "wt" "salt" "G40" 2.65338740261627 0.130425285458352 0.0516953007622938
"A" "SLR4" "mut" "salt" "G40" 2.62582101171026 -0.078796194298401 -0.0291339543811763
"A" "SHR5" "wt" "salt" "G40" 2.76143155073433 0.238469433576413 0.0945196251480169
"A" "SLR5" "mut" "salt" "G40" 2.62459446518573 -0.080022740822939 -0.0295874553504866
"A" "SHR6" "wt" "salt" "G40" 2.89213246588509 0.369170348727181 0.146324174357024
"A" "SLR6" "mut" "salt" "G40" 3.09718557190992 0.392568365901258 0.145147477812799
"A" "SHR7" "wt" "salt" "G40" 2.96429124506876 0.441329127910849 0.174924991901187
"A" "SLR7" "mut" "salt" "G40" 2.94909987786082 0.244482671852153 0.0903945561349688
"A" "SHR8" "wt" "salt" "G40" NA NA NA
"A" "SLR8" "mut" "salt" "G40" NA NA NA
"A" "HR0" "wt" "ngm" "G0" 2.22706730283595 -0.18198891664714 -0.0755436569621399
"A" "LR0" "mut" "ngm" "G0" 2.24714031758562 0.403653510639851 0.2189619741888
"A" "SHR0" "wt" "salt" "G0" NA NA NA
"A" "SLR0" "mut" "salt" "G0" 2.64716231186677 -0.0574548941418942 -0.0212432628226467
"A" "HR1" "wt" "ngm" "G40" 2.66915748076056 0.260101261277472 0.107968115967539
"A" "LR1" "mut" "ngm" "G40" 2.00254366748335 0.159056860537582 0.0862804441769252
"A" "HR2" "wt" "ngm" "G40" 2.71663364223419 0.307577422751096 0.127675485637729
"A" "LR2" "mut" "ngm" "G40" 2.33602232065464 0.492535513708879 0.26717604479356
