"pstandard" "psalt" "pstandardxrec" "psaltxrec"
"minp" 1.49403743173039e-06 6.09741219132475e-06 8.71879149301553e-07 2.47291134497829e-06
"minp" 2.33886242172494e-06 6.71542533777105e-07 6.2322070275597e-06 4.57520723976817e-06
"minp" 2.40736562521206e-06 1.7414677690304e-06 2.96463673803016e-07 1.6697481270029e-08
"minp" 8.74364053645252e-07 3.18785950504489e-06 7.37976284089682e-06 3.75294777517964e-06
"minp" 3.57948056335602e-06 1.09111462720754e-06 3.53446434816249e-06 1.52857776252137e-10
"minp" 1.19433366257277e-06 3.33633311707717e-07 6.70531206416543e-07 1.78822283657644e-06
"minp" 5.74863845261751e-06 1.1524151784133e-06 7.62979109291917e-06 1.14204339798326e-06
"minp" 1.02320693625957e-06 8.75558215010789e-07 7.64527744047848e-07 2.19959129701231e-06
"minp" 5.57802238494711e-07 1.22747394050658e-06 2.91610273326003e-06 1.75833404667638e-06
"minp" 6.91634706464165e-07 3.96427913137655e-07 6.78487582678923e-07 1.72832196286317e-07
"minp" 1.8041203587789e-06 8.52202855049962e-06 2.19151503460518e-07 2.9916143135244e-07
"minp" 1.10131960718963e-06 1.77497648672679e-05 1.32950407988179e-06 5.53932684061318e-07
"minp" 5.46915581481062e-07 3.64167555357602e-06 2.94093472509044e-06 1.61221542853578e-06
"minp" 1.17815690666484e-06 1.16400036165073e-06 5.02971778918603e-07 2.0236649522704e-07
"minp" 5.44951999763442e-07 1.62967327539646e-06 3.5211085590931e-06 2.41543489744759e-06
"minp" 5.84264229176311e-06 1.9545048019652e-06 1.2737037339888e-06 6.95434139741351e-07
"minp" 2.41450629062208e-07 1.35153005326575e-07 1.17186581144484e-06 9.70016626641387e-07
"minp" 1.23954224496039e-06 1.05017622893863e-06 2.95006048316467e-07 2.35160687035354e-08
"minp" 3.22214897446702e-06 2.91580804960818e-06 3.65233821767239e-06 8.75238228992233e-07
"minp" 3.72156754739647e-07 1.07344436109339e-06 4.46572341222714e-06 5.2612387563344e-06
"minp" 9.31576454863889e-06 6.87628276910973e-07 1.56378514259573e-06 2.95273192638011e-07
"minp" 5.5549951337781e-06 1.07577966326647e-06 1.32388830005696e-06 7.9116192748109e-07
"minp" 2.44743323200936e-06 6.71864653817034e-08 7.18990924119017e-06 6.6279274801002e-06
"minp" 1.00096059816358e-07 1.10664319762822e-06 4.76597864197524e-07 2.0639032419301e-06
"minp" 1.67457292056697e-06 2.23159341115847e-06 1.61340027166478e-06 2.9734004517994e-06
"minp" 7.37749607820911e-07 3.42821843470086e-07 7.79783047707849e-07 3.80424350393932e-06
"minp" 1.71487582568867e-06 2.83927860491602e-07 1.70273319139395e-07 1.36135259637969e-07
"minp" 4.51108021132859e-06 4.31571847451957e-07 3.41665981607627e-06 5.27514232638677e-08
"minp" 6.29096798202585e-06 2.36720019255166e-06 2.63817346982307e-06 8.09471456261962e-07
"minp" 5.20859939464686e-07 6.06878129997626e-06 1.07596482115046e-07 2.18464622411658e-07
"minp" 1.21819232643006e-06 5.51861079418305e-07 7.82437156742984e-07 2.44975249654516e-06
"minp" 5.69696790994242e-07 1.42281600510267e-06 2.48985989660811e-07 6.42121133671203e-06
"minp" 2.02408121924804e-06 8.85884193694704e-06 1.58295216951064e-06 8.81405544273227e-06
"minp" 1.5168786368825e-07 1.16711102439744e-06 2.47510909496836e-06 2.724974107187e-06
"minp" 7.2606022783417e-07 3.19003525111127e-06 2.0644205882677e-06 1.57931421423824e-06
"minp" 1.38574804916209e-06 2.91724602547012e-07 3.06968188104801e-07 1.81128370824203e-06
"minp" 6.47012914005584e-07 2.65502674081682e-06 6.25070607313791e-06 3.21920767677645e-07
"minp" 2.49538769512807e-07 4.21499367103086e-06 3.6927946490603e-07 1.60719985567385e-06
"minp" 3.52718651743849e-06 3.16877645817788e-06 2.43960793209117e-06 1.73659318892683e-06
"minp" 3.37714749399938e-06 5.62995253404916e-07 9.52401103639973e-07 1.04925405089196e-05
"minp" 5.5692368879521e-07 8.37705443248896e-06 1.26193456031822e-06 1.9349423095162e-07
"minp" 2.55918143427139e-06 4.13070381636939e-07 4.97744710101093e-06 1.04938432885115e-06
"minp" 1.14915339333962e-06 1.62678628008403e-07 4.8918046868126e-06 1.12217199941259e-07
"minp" 7.54579840770424e-06 9.7141165497508e-08 1.77266490807565e-06 6.99133784278075e-07
