"sGen" "sGenxrec" "sGenxenv"
"1" 1.66964614990403e-07 9.46614001567565e-08 3.14771028750063e-05
"2" 6.20195079520215e-07 2.76924668551666e-06 2.41674480191343e-06
"3" 2.39326462753794e-06 2.19568434777659e-05 2.01929928739705e-07
"4" 5.25517009247747e-06 6.26572357736745e-07 7.04940803375449e-07
"5" 1.28263939181823e-06 5.36281137754414e-07 6.90583691993645e-07
"6" 4.21617218803003e-06 3.08724004826515e-06 2.19260483329266e-06
"7" 9.97018713888725e-07 8.48281094310052e-06 1.9374529137749e-06
"8" 3.97033272175941e-06 2.39512867366645e-06 7.28084175205629e-07
"9" 1.60702991957214e-06 7.78021176957052e-07 1.65854607946988e-06
"10" 2.95296572446005e-06 3.1322755300377e-07 6.34011451583771e-06
"11" 3.87188953084328e-06 3.2894308981499e-06 1.74946503062454e-07
"12" 1.81206591465781e-06 6.97897992576859e-08 6.73641684682228e-06
"13" 1.61544462898542e-06 1.40932662645469e-07 2.65331624792217e-06
"14" 3.32763012187855e-06 1.85480015079992e-06 1.38267688121677e-07
"15" 2.39642213699014e-07 1.42695913909801e-06 1.86997233737679e-06
"16" 7.96349148121287e-07 2.27315105355486e-06 8.59502908870178e-09
"17" 8.54494620337826e-08 3.69637720165316e-07 3.38053727601003e-08
"18" 6.83324767502443e-06 1.74670849513926e-06 2.8117547880959e-06
"19" 5.12654295727224e-06 7.37166394106933e-06 5.70906213076863e-06
"20" 2.35307276769475e-06 2.10611140975368e-06 2.84355622043013e-06
"21" 1.90638006076217e-07 1.2455266298718e-06 1.41521370582509e-06
"22" 2.64752618085012e-06 1.99502312148938e-06 8.37500510813014e-07
"23" 9.49637668198646e-06 5.39450205007859e-07 1.58393924718207e-07
"24" 7.9343972875196e-09 2.62710799135176e-05 1.80075324147905e-06
"25" 6.74974679308808e-07 5.85276507045455e-07 9.40451196128179e-06
"26" 9.29800556227694e-08 4.58434524734883e-06 1.43244421604638e-06
"27" 2.10375012942543e-06 6.11322466502658e-07 8.83303268208244e-06
"28" 8.05257687360118e-07 1.10469887631901e-06 2.5347805383304e-07
"29" 2.62623809152417e-06 5.20327692480816e-07 2.6466827063779e-07
"30" 1.07873989236681e-06 3.3104472033604e-06 2.79752897988882e-06
"31" 1.33210888432928e-06 3.4251502964977e-08 4.9661545070713e-07
"32" 2.64813373368005e-07 1.60469081966416e-07 3.2022554445546e-09
"33" 2.29387913338449e-07 5.27823057752886e-06 7.62947369863183e-07
"34" 5.53164824855024e-07 3.10149637998812e-07 1.56510381622355e-07
"35" 3.34263832249018e-06 3.94292922896995e-08 2.00391642506772e-06
"36" 8.11934615347318e-06 1.97747490971552e-06 8.27505037838075e-07
"37" 2.25580622978936e-06 2.77823273457416e-06 3.47120113493439e-07
"38" 8.40556099636734e-06 2.57977010647977e-06 5.46443506820089e-08
"39" 7.5276244859572e-06 4.47318749919502e-06 1.20911612645834e-06
"40" 2.38499832185318e-07 5.75337215979534e-07 2.53329090670723e-06
"41" 1.47721613696716e-06 6.73972109530656e-07 8.79316424494411e-07
"42" 1.25221684869259e-06 8.62988370298417e-06 8.698914858509e-07
"43" 1.35601154027488e-07 1.76596834846133e-06 5.63804989916353e-06
"44" 7.12180461441774e-07 9.99071422021895e-07 1.20625580875555e-06
"45" 6.5510577601033e-07 7.49457579133168e-07 5.1669098498714e-06
"46" 7.41106150943766e-08 1.40669509976206e-06 2.11487705299306e-06
"47" 1.09215996470686e-06 8.34723988459492e-07 6.46976428556405e-06
"48" 5.32557369925481e-07 2.17034724974761e-06 9.36498700036495e-06
"49" 6.64915391661828e-09 2.84591150629933e-06 4.8989529577765e-06
"50" 1.38818772630769e-06 1.95111082965449e-06 4.41268826022841e-07
"51" 3.17295622927058e-09 1.71165736327108e-09 4.36965188979894e-06
"52" 1.43304889642025e-06 5.51929994693267e-08 9.89476742858939e-07
"53" 1.44693677632848e-06 3.61772130266693e-06 1.25755087782812e-07
"54" 7.68832081525803e-07 1.64137158739483e-07 3.77270935249869e-06
"55" 2.18840775804835e-07 1.26976273299399e-06 1.51622933694751e-07
"56" 4.09214430148537e-08 1.34332535736694e-07 3.49328725590208e-08
"57" 3.68281624862837e-07 5.33135569048955e-06 8.80165610262757e-06
"58" 1.1729700556345e-07 3.7941033670238e-07 6.87467665050399e-08
"59" 9.15274139603886e-07 3.2108359684186e-06 1.42163916770188e-06
"60" 2.24025559157108e-06 1.40714194785249e-05 3.92264792607465e-06
"61" 1.02505588478006e-06 2.78050552925635e-05 1.09462435799781e-05
"62" 2.42573945240996e-08 2.6210420999181e-07 4.11850211292142e-07
"63" 3.58028801944477e-08 1.03302048024043e-07 8.37774168459723e-07
"64" 2.19065447322914e-07 2.59574065323088e-08 6.25128602064735e-07
"65" 3.35131928990809e-06 6.05848393934548e-06 1.95131694350908e-06
"66" 2.92473001462108e-06 2.64553849684018e-07 1.1361405050697e-05
"67" 1.16535150908651e-11 5.62734357539737e-09 1.81406580174103e-07
"68" 3.35228974303854e-06 5.2806010621868e-06 9.043185553465e-06
"69" 1.09236862300022e-06 2.06255159314772e-06 1.3936853784012e-07
"70" 9.25731659800957e-07 2.33301965315666e-06 6.08708077851717e-06
"71" 6.15488968407536e-07 9.58953813593914e-08 3.45266477667788e-06
"72" 6.42155645231285e-06 2.00704583910619e-06 1.11511644058739e-06
"73" 5.05306818813657e-07 1.87673332010024e-06 1.84252783102214e-06
"74" 1.74765771884562e-07 2.90852539643258e-06 3.32300904540282e-06
"75" 4.51583025292909e-07 6.8303389765172e-08 2.31771830610016e-06
"76" 1.46414935809913e-06 2.26961564047331e-08 5.83927473594057e-08
"77" 2.03690408508195e-08 7.90204561307201e-07 1.62601952304499e-05
"78" 3.67472034311025e-08 8.92543959295644e-07 2.04126926177945e-06
"79" 4.42051356617495e-06 9.69272109763749e-07 2.23658566463099e-06
"80" 5.15276022422081e-06 4.24236652897558e-06 6.45208688015025e-06
"81" 1.72913163769806e-06 1.87187150508204e-06 7.23406057761173e-06
"82" 3.38014788602926e-07 1.90105597281218e-07 4.0398462414254e-07
"83" 6.79229959272284e-08 6.34815786582502e-08 3.72880252134195e-06
"84" 5.00444314819038e-06 9.37151318121132e-07 7.65782849078563e-06
"85" 1.60499006667122e-07 7.29454152800131e-07 2.47469211810399e-06
"86" 2.38116241818253e-07 3.9720409546834e-07 9.35255573467534e-06
"87" 1.78339012133027e-06 1.76996322837931e-07 3.17955488567917e-06
"88" 1.72478165621291e-06 8.47632863892658e-07 2.01109178880112e-07
"89" 3.64800090548587e-06 1.25931286464293e-06 3.03649166367273e-07
"90" 2.4776358796615e-06 1.32957682426571e-06 6.42879954174158e-06
"91" 1.36393147904879e-06 2.0413722595627e-06 1.71631738046444e-06
"92" 4.82979024951939e-07 2.20085666928051e-06 1.13541497194238e-06
"93" 4.28784249766154e-07 1.23414357698044e-05 3.22845530982468e-06
"94" 1.00905681881406e-07 2.09639735529156e-07 1.43073661503006e-07
"95" 2.79319863017967e-08 1.00004014706048e-05 1.57238647753013e-06
"96" 1.57374270515975e-06 1.80725287501023e-06 1.89457394015527e-06
"97" 1.85854862249185e-06 2.09316029050051e-07 7.36090980126086e-09
"98" 4.08763587143324e-06 7.3951486593536e-06 2.93035536408617e-06
"99" 6.22347928554606e-06 3.9481876358222e-06 1.93658553456899e-07
"100" 4.09461061321881e-08 2.84496586296807e-06 4.99889660830878e-06
"101" 6.05767253298796e-07 5.47094012904672e-07 2.35659189033401e-06
"102" 4.7040583725712e-08 2.57427723665994e-07 4.36724679522939e-08
"103" 8.3109486774924e-08 2.39664106067852e-08 1.56998060468711e-06
"104" 2.59977720486243e-07 3.86250903412766e-06 9.42032597670482e-07
