nacl_concentration,fertility,replicate
275,9,1
275,7,1
275,9,1
275,16,1
275,9,1
275,9,1
275,19,1
275,16,1
275,6,1
275,11,1
275,8,1
275,8,1
275,9,1
275,17,1
275,21,1
275,4,1
275,7,1
275,8,1
275,5,1
275,7,1
275,9,1
275,8,1
275,7,1
275,7,1
275,18,1
275,13,1
275,4,1
275,9,1
275,11,1
275,14,1
275,11,1
275,18,1
275,12,1
275,10,1
275,8,1
275,9,1
275,7,1
275,9,1
275,10,1
275,11,1
275,9,1
275,10,1
275,18,1
275,17,1
275,25,1
275,7,1
275,14,1
275,8,1
275,12,1
275,4,1
275,15,1
275,5,1
275,11,1
275,14,1
275,12,1
275,13,1
275,4,1
275,12,1
275,11,1
275,28,1
275,25,1
275,9,1
275,4,1
275,24,1
275,25,1
275,12,1
275,10,1
275,6,1
275,13,1
275,5,1
275,14,1
275,6,1
275,7,1
275,9,1
275,19,1
275,19,1
275,10,1
275,17,2
275,13,2
275,5,2
275,1,2
275,20,2
275,18,2
275,5,2
275,8,2
275,11,2
275,24,2
275,6,2
275,6,2
275,18,2
275,12,2
275,15,2
275,1,2
275,8,2
275,9,2
275,11,2
275,6,2
275,11,2
275,6,2
275,5,2
275,11,2
275,21,2
275,15,2
275,12,2
275,13,2
275,12,2
275,1,2
275,3,2
275,10,2
275,20,2
275,11,2
275,16,2
275,10,2
275,4,2
275,6,2
275,17,2
275,5,2
275,10,2
275,5,2
275,6,2
275,9,2
275,12,2
275,10,2
275,11,2
275,15,2
275,13,2
275,5,2
275,12,2
275,12,2
275,10,2
275,6,2
275,5,2
275,0,2
275,0,2
275,0,2
275,5,2
275,6,2
275,0,2
275,14,2
275,9,2
275,9,2
275,6,2
275,12,2
275,2,2
275,9,2
275,6,2
275,10,2
25,12,1
25,11,1
25,12,1
25,20,1
25,10,1
25,7,1
25,10,1
25,16,1
25,10,1
25,30,1
25,18,1
25,13,1
25,25,1
25,24,1
25,15,1
25,16,1
25,19,1
25,17,1
25,6,1
25,13,1
25,15,1
25,10,1
25,17,1
25,8,1
25,13,1
25,20,1
25,16,1
25,17,1
25,11,1
25,11,1
25,17,1
25,16,1
25,10,1
25,11,1
25,17,1
25,10,1
25,24,1
25,25,1
25,17,1
25,23,1
25,27,2
25,32,2
25,9,2
25,16,2
25,15,2
25,19,2
25,12,2
25,15,2
25,16,2
25,14,2
25,15,2
25,11,2
25,22,2
25,18,2
25,14,2
25,20,2
25,14,2
25,14,2
25,15,2
25,22,2
25,11,2
25,9,2
25,30,2
25,9,2
25,13,2
25,13,2
25,31,2
25,12,2
25,15,2
25,19,2
25,12,2
25,11,2
25,12,2
25,8,2
25,21,2
25,14,2
25,9,2
25,30,2
25,8,2
25,17,2
25,10,2
25,17,2
25,24,2
25,12,2
25,10,2
25,11,2
25,14,2
25,21,2
25,28,2
25,18,2
25,6,2
25,12,2
25,10,2
25,16,2
25,12,2
25,16,2
25,14,2
25,24,2
25,23,2
25,6,2
25,20,2
25,15,2
25,16,2
25,27,2
25,16,2
25,19,2
25,17,3
25,36,3
25,14,3
25,16,3
25,6,3
25,16,3
25,22,3
25,10,3
25,17,3
25,34,3
25,17,3
25,11,3
25,22,3
25,9,3
25,19,3
25,29,4
25,23,4
25,13,4
25,25,4
25,17,4
25,9,4
25,22,4
25,22,4
25,6,4
25,12,4
25,18,4
25,8,4
25,28,4
25,10,4
25,23,4
25,18,4
25,8,4
25,24,4
25,8,4
25,22,4
25,12,4
25,22,4
25,12,4
200,33,1
200,10,1
200,25,1
200,15,1
200,17,1
200,14,1
200,14,1
200,14,1
200,12,1
200,15,1
200,21,1
200,8,1
200,10,1
200,16,1
200,9,1
200,11,1
200,12,1
200,6,1
200,18,1
200,7,1
200,17,1
200,8,1
200,8,1
200,12,1
200,22,1
200,18,1
200,16,1
200,14,1
200,16,1
200,15,1
200,16,1
200,22,1
200,22,1
200,15,1
200,30,1
200,14,1
200,15,1
200,11,1
200,11,1
200,13,1
200,14,1
200,11,1
200,16,1
200,9,1
200,13,1
200,6,1
200,5,1
200,7,1
200,11,1
200,12,1
200,10,1
200,19,1
200,7,1
200,19,1
200,11,1
200,18,1
200,4,1
200,7,1
200,25,1
200,7,1
200,26,1
200,8,1
200,13,1
200,13,1
200,22,1
200,21,1
200,7,1
200,9,1
200,24,1
200,14,1
200,16,1
200,8,1
200,10,1
200,10,1
200,9,1
200,13,1
200,17,1
200,16,1
200,6,1
200,7,1
200,26,1
200,20,1
200,12,1
200,10,2
200,16,2
200,23,2
200,18,2
200,22,2
200,11,2
200,11,2
200,12,2
200,14,2
200,9,2
200,15,2
200,8,2
200,13,2
200,19,2
200,31,2
200,21,2
200,12,2
200,7,2
200,16,2
200,15,2
200,22,2
200,34,2
200,18,2
200,12,2
200,10,2
200,14,2
200,16,2
200,15,2
200,22,2
200,20,2
200,13,2
200,12,2
200,8,2
200,17,2
200,35,2
200,13,2
200,7,2
200,16,2
200,12,2
200,27,2
200,21,2
200,11,2
200,14,2
240,15,1
240,23,1
240,15,1
240,9,1
240,13,1
240,20,1
240,17,1
240,7,1
240,19,1
240,19,2
240,0,2
240,7,2
240,12,2
240,8,2
240,11,2
240,9,2
240,9,2
240,10,2
240,10,2
240,6,2
240,9,2
240,10,2
240,14,2
240,0,2
240,8,2
240,17,2
240,8,2
240,13,2
240,16,2
240,18,2
240,0,2
240,6,2
240,0,2
240,7,2
