nacl_concentration,replicate,nmale,nherm,malefreq,lowCI95,highCI95
25,1,218,239,0.47702407002188185,0.4305329432283025,0.5239073533879162
200,1,157,251,0.3848039215686274,0.33768953437625826,0.4341228034182648
240,1,167,222,0.42930591259640105,0.3797908583384837,0.4802395005099284
275,1,159,306,0.3419354838709677,0.29923891527185525,0.38728656439472514
25,2,226,197,0.5342789598108747,0.4854686987056907,0.5824569451224156
200,2,207,254,0.4490238611713666,0.4031611777930999,0.49574912204423377
240,2,119,259,0.3148148148148148,0.2687995593035116,0.3646607793278618
275,2,156,396,0.2826086956521739,0.24578555940377048,0.3225087959923056
25,3,157,174,0.4743202416918429,0.4196451344640768,0.5296010199686777
25,4,171,189,0.475,0.4225843710484463,0.5279576698386187
